 * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
127.0.0.1 - - [21/Mar/2019 12:38:41] "POST /api/ui/update_code HTTP/1.1" 200 -
127.0.0.1 - - [21/Mar/2019 12:38:41] "POST /api/ui/select_code HTTP/1.1" 200 -
127.0.0.1 - - [21/Mar/2019 12:38:41] "POST /api/ui/add_entries HTTP/1.1" 200 -
127.0.0.1 - - [21/Mar/2019 12:38:41] "POST /api/ui/update_code HTTP/1.1" 200 -
127.0.0.1 - - [21/Mar/2019 12:38:41] "POST /api/ui/select_code HTTP/1.1" 200 -
127.0.0.1 - - [21/Mar/2019 12:38:41] "POST /api/ui/add_entries HTTP/1.1" 200 -
127.0.0.1 - - [21/Mar/2019 12:38:41] "POST /api/ui/update_code HTTP/1.1" 200 -
127.0.0.1 - - [21/Mar/2019 12:38:41] "POST /api/ui/select_code HTTP/1.1" 200 -
127.0.0.1 - - [21/Mar/2019 12:38:41] "POST /api/ui/add_entries HTTP/1.1" 200 -
127.0.0.1 - - [21/Mar/2019 12:38:41] "POST /api/ui/update_code HTTP/1.1" 200 -
127.0.0.1 - - [21/Mar/2019 12:38:41] "POST /api/ui/select_code HTTP/1.1" 200 -
127.0.0.1 - - [21/Mar/2019 12:38:41] "POST /api/ui/add_entries HTTP/1.1" 200 -
127.0.0.1 - - [21/Mar/2019 12:38:41] "POST /api/ui/update_code HTTP/1.1" 200 -
127.0.0.1 - - [21/Mar/2019 12:38:41] "POST /api/ui/select_code HTTP/1.1" 200 -
127.0.0.1 - - [21/Mar/2019 12:38:41] "POST /api/ui/add_entries HTTP/1.1" 200 -
127.0.0.1 - - [21/Mar/2019 12:38:41] "POST /api/ui/update_code HTTP/1.1" 200 -
127.0.0.1 - - [21/Mar/2019 12:38:41] "POST /api/ui/select_code HTTP/1.1" 200 -
127.0.0.1 - - [21/Mar/2019 12:38:41] "POST /api/ui/add_entries HTTP/1.1" 200 -
127.0.0.1 - - [21/Mar/2019 12:38:41] "POST /api/ui/update_code HTTP/1.1" 200 -
127.0.0.1 - - [21/Mar/2019 12:38:41] "POST /api/ui/select_code HTTP/1.1" 200 -
